source,target,weight,type
CGO,HGH,10,undirected
JHG,KMG,10,undirected
CKG,XIY,10,undirected
CGO,URC,9,undirected
CKG,KMG,9,undirected
KHG,URC,9,undirected
URC,XIY,9,undirected
XIY,XNN,9,undirected
CAN,HGH,9,undirected
DLC,HGH,9,undirected
KMG,XIY,8,undirected
HGH,PEK,8,undirected
KWE,XIY,8,undirected
CTU,KMG,8,undirected
HRB,TSN,8,undirected
FOC,NKG,8,undirected
HGH,TAO,8,undirected
CTU,HGH,8,undirected
HGH,KMG,8,undirected
KMG,NKG,8,undirected
LHW,URC,8,undirected
KMG,XMN,8,undirected
NKG,XMN,8,undirected
CSX,KMG,8,undirected
CSX,XMN,8,undirected
KMG,WUH,8,undirected
INC,PEK,8,undirected
KMG,KWE,7,undirected
HGH,SJW,7,undirected
CTU,WUH,7,undirected
CTU,XIY,7,undirected
CKG,SHA,7,undirected
DLC,PVG,7,undirected
HGH,SYX,7,undirected
XIY,XMN,7,undirected
TNA,XIY,7,undirected
CTU,TNA,7,undirected
CSX,XIY,7,undirected
TAO,XIY,7,undirected
WUH,XMN,7,undirected
PEK,SHA,7,undirected
CKG,LJG,7,undirected
CKG,XNN,7,undirected
CTU,SHA,7,undirected
CTU,SZX,7,undirected
CGO,KMG,7,undirected
SHE,TAO,7,undirected
DLC,TSN,7,undirected
NNG,WUH,7,undirected
CKG,LXA,7,undirected
HGH,KWL,7,undirected
TSN,XIY,7,undirected
HRB,TNA,7,undirected
SHA,SZX,7,undirected
HFE,XMN,7,undirected
PVG,XIY,7,undirected
SHA,TSN,7,undirected
CTU,JZH,7,undirected
HGH,XIY,7,undirected
CGO,KWE,7,undirected
CKG,TSN,7,undirected
CAN,SHA,7,undirected
CAN,CKG,7,undirected
KWL,PVG,7,undirected
KWL,XIY,7,undirected
CKG,HGH,6,undirected
DLC,TNA,6,undirected
CAN,PVG,6,undirected
CGO,HRB,6,undirected
CKG,PVG,6,undirected
CTU,PVG,6,undirected
HGH,KWE,6,undirected
KMG,TNA,6,undirected
HGH,SHE,6,undirected
CTU,TSN,6,undirected
HTN,URC,6,undirected
PEK,XMN,6,undirected
CSX,NKG,6,undirected
TAO,WUH,6,undirected
NNG,XMN,6,undirected
CTU,XMN,6,undirected
CKG,PEK,6,undirected
CAN,WNZ,6,undirected
HRB,TAO,6,undirected
CKG,URC,6,undirected
NKG,XIY,6,undirected
HAK,HGH,6,undirected
CAN,XMN,6,undirected
HET,TSN,6,undirected
CSX,CTU,6,undirected
CGO,DLC,6,undirected
KWE,SHA,6,undirected
KMG,PEK,6,undirected
CSX,FOC,6,undirected
CKG,KWL,6,undirected
SHA,URC,6,undirected
KMG,LJG,6,undirected
LHW,XIY,6,undirected
INC,XIY,6,undirected
CTU,KWE,6,undirected
