Id,Label,度,Weighted Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Number of triangles,PageRank,Modularity Class,Component ID,Eigenvector Centrality
CGO,CGO,47,157.0,3.0,1.7393939393939395,123.79780556366327,0.4690101757631822,507,0.014780514294522892,1,0,0.6737694263388311
HGH,HGH,52,201.0,3.0,1.709090909090909,270.24081344519755,0.3891402714932127,516,0.016715646313473095,2,0,0.6876159403668388
JHG,JHG,8,23.0,3.0,2.2363636363636363,5.4174653568440885,0.6071428571428571,17,0.003762606857395599,0,0,0.10805222450654862
KMG,KMG,71,236.0,3.0,1.6303030303030304,1189.0590196527796,0.2720321931589537,676,0.02671961082675389,0,0,0.7861036703058787
CKG,CKG,74,241.0,3.0,1.5696969696969696,727.2052442030507,0.30433172898926325,822,0.024660800051835637,0,0,0.8663477247468974
XIY,XIY,77,262.0,3.0,1.5393939393939393,1023.2018298078896,0.2734107997265892,800,0.026213085463608125,1,0,0.8608544100877047
URC,URC,38,121.0,3.0,1.8181818181818181,1130.890690669308,0.3584637268847795,252,0.018285476804932282,1,0,0.47088230105834616
KHG,KHG,4,13.0,3.0,2.290909090909091,40.57653738142157,0.5,3,0.00272432596510419,1,0,0.06264871602202521
XNN,XNN,19,50.0,3.0,1.9272727272727272,235.52470281052857,0.5730994152046783,98,0.008132324693324927,1,0,0.29808357676786507
CAN,CAN,94,234.0,3.0,1.4424242424242424,1255.2196559876,0.2075040036604896,907,0.03144193558612264,3,0,0.948459436570685
DLC,DLC,48,113.0,3.0,1.812121212121212,237.18340628846317,0.3377659574468085,381,0.015865792406506894,2,0,0.583672551030279
PEK,PEK,108,318.0,3.0,1.3515151515151516,2295.471751819928,0.17289719626168223,999,0.03727615860007973,4,0,1.0
KWE,KWE,44,132.0,3.0,1.7636363636363637,234.5600541539771,0.5031712473572939,476,0.014496398485091955,3,0,0.6360163064773684
CTU,CTU,84,273.0,2.0,1.490909090909091,1649.2182883841974,0.2527251864601262,881,0.030789886994067203,0,0,0.9034944455309389
HRB,HRB,45,111.0,3.0,1.8181818181818181,604.2162179840932,0.34949494949494947,346,0.01590443602989279,2,0,0.5531914887093156
TSN,TSN,43,128.0,3.0,1.7515151515151515,124.23463140049306,0.4750830564784053,429,0.01361577895722752,2,0,0.6198463446149841
FOC,FOC,34,104.0,3.0,1.8484848484848484,26.351473876275904,0.6524064171122995,366,0.010528263996730472,3,0,0.5693900532693076
